#{"t_start": 1713105789.0286548, "env_id": null}
r,l,t
8489.959336,7142,6107.144716
8266.684587,7142,6126.492392
9276.020701,7142,6145.816384
3820.959072,7142,6165.632669
6881.693456,7142,6184.79959
4694.192348,7142,6204.549344
8625.040211,7142,6223.763194
10744.434534,7142,6243.136219
12358.755625,7142,6262.576396
4841.882133,7142,6282.361241
10516.938926,7142,6301.633163
6011.102593,7142,6320.942218
4446.237326,7142,6340.774001
7497.475156,7142,6360.080597
3457.024542,7142,6379.91793
7757.850549,7142,6399.123737
3166.796151,7142,6418.965221
12769.050903,7142,6438.420157
12152.867962,7142,6457.718467
11617.764285,7142,6477.26247
8565.021402,7142,6496.410945
-681.10831,7142,6516.281667
4542.185092,7142,6535.877894
8801.209809,7142,6555.535357
11208.718689,7142,6574.768841
8803.239512,7142,6594.206843
9703.775722,7142,6613.490979
10058.03821,7142,6632.941874
10604.010621,7142,6652.432781
11703.71816,7142,6671.615142
11548.746808,7142,6690.988055
10545.020452,7142,6710.435216
9851.992275,7142,6729.634283
10228.011674,7142,6749.032211
7757.887125,7142,6768.356208
10239.210903,7142,6787.600585
10775.298071,7142,6807.141964
11242.396502,7142,6826.380923
10157.108967,7142,6845.792153
12504.53614,7142,6865.424414
10528.228655,7142,6884.834608
9714.561712,7142,6904.487811
12706.988886,7142,6923.821874
12175.366711,7142,6943.69363
5233.86073,7142,6963.24715
12390.732672,7142,6982.738835
-7318.40173,7142,7002.787826
3552.894056,7142,7022.364968
10754.769197,7142,7041.65839
12280.476863,7142,7061.033543
10746.023492,7142,7080.446481
7025.071767,7142,7100.37621
9453.287198,7142,7120.227877
11853.677377,7142,7139.936577
12571.539023,7142,7159.80569
9920.432275,7142,7179.387827
11285.263906,7142,7198.778787
12630.969677,7142,7218.094307
5421.618611,7142,7237.750599
8300.743864,7142,7257.730602
11562.235073,7142,7276.869824
10775.899602,7142,7296.341138
12282.320237,7142,7315.681893
4347.662225,7142,7335.42751
3579.097338,7142,7355.244557
10013.542084,7142,7374.569427
6839.772145,7142,7393.768453
10691.009993,7142,7413.246332
